ASX Code,Security Group Code,Issuer Full Name,Product Description,Last Price($),Business Date,Year,Company Name,Sub-Industry,Splits,Dividends
1AD,EQY,ADALTA LIMITED                                              ,ORDINARY            ,0.28,20170630,2017,Adalta Limited Ordinary,Biotechnology & Medical Research,1.0,0.0
1AG,EQY,ALTERRA LIMITED                                             ,ORDINARY            ,0.024,20170630,2017,Alterra Limited Ordinary,Environmental Services & Equipment,1.0,0.0
1AL,EQY,ONEALL INTERNATIONAL LIMITED                                ,ORDINARY            ,0.91,20170630,2017,,,1.0,0.0
1PG,EQY,1-PAGE LIMITED                                              ,ORDINARY            ,0.165,20170308,2017,,,1.0,0.0
1ST,EQY,1ST GROUP LIMITED                                           ,ORDINARY            ,0.026,20170628,2017,,,1.0,0.0
3DP,EQY,POINTERRA LIMITED                                           ,ORDINARY            ,0.025,20170629,2017,Pointerra Limited Ordinary,Software,1.0,0.0
3PL,EQY,3P LEARNING LIMITED..                                       ,ORDINARY            ,1.045,20170630,2017,3P Learning Limited. Ordinary,Software,1.0,0.0
4CE,EQY,FORCE COMMODITIES LIMITED                                   ,ORDINARY            ,0.018,20170630,2017,,,1.0,0.0
4DS,EQY,4DS MEMORY LIMITED                                          ,ORDINARY            ,0.037,20170630,2017,4DS Memory Limited Ordinary,Computer Hardware,1.0,0.0
4WD,EQY,AUTOMOTIVE SOLUTIONS GROUP LTD                              ,ORDINARY            ,0.35,20170630,2017,,,1.0,0.0
88E,EQY,88 ENERGY LIMITED                                           ,ORDINARY            ,0.057,20170630,2017,88 Energy Limited Ordinary,Oil & Gas Exploration and Production,1.0,0.0
8CO,EQY,8COMMON LIMITED                                             ,ORDINARY            ,0.033,20170622,2017,8COMMON Limited Ordinary,Software,1.0,0.0
8EC,EQY,8IP EMERGING COMPANIES LIMITED                              ,ORDINARY            ,0.9,20170630,2017,,,1.0,0.0
8IH,EQY,8I HOLDINGS LTD                                             ,CDI 1:1             ,0.45,20170629,2017,8I Holdings Ltd CDI 1:1,Holding Companies,1.0,0.0
9SP,EQY,9 SPOKES INTERNATIONAL LIMITED                              ,ORDINARY            ,0.15,20170630,2017,,,1.0,0.0
A2M,EQY,THE A2 MILK COMPANY LIMITED                                 ,ORDINARY            ,3.76,20170630,2017,The A2 Milk Company Limited Ordinary,Food Processing,1.0,0.0
A3D,EQY,AURORA LABS LIMITED                                         ,ORDINARY            ,1.07,20170630,2017,Aurora Labs Limited Ordinary,Electronic Equipment & Parts,1.0,0.0
AAA,EQY,BETASHARES AUSTRALIAN HIGH INTEREST CASH ETF                ,ETF UNITS           ,50.17,20170630,2017,BetaShares Australian High Interest Cash ETF,,1.0,0.0
AAC,EQY,AUSTRALIAN AGRICULTURAL COMPANY LIMITED.                    ,ORDINARY            ,1.855,20170630,2017,Australian Agricultural Company Limited Ordinary,Food Processing,1.0,0.0
AAD,EQY,ARDENT LEISURE GROUP                                        ,STAPLED SECURITIES  ,1.88,20170630,2017,,,1.0,0.0
AAJ,EQY,ARUMA RESOURCES LIMITED                                     ,ORDINARY            ,0.008,20170630,2017,Aruma Resources Limited Ordinary,Gold,1.0,0.0
AAL,EQY,APAC COAL LIMITED                                           ,ORDINARY            ,0.005,20160616,2017,,,1.0,0.4
AAP,EQY,AUSTRALIAN AGRICULTURAL PROJECTS LIMITED                    ,ORDINARY            ,0.034,20170630,2017,Australian Agricultural Projects Limited Ordinary,Fishing & Farming,1.0,0.24
AAR,EQY,ANGLO AUSTRALIAN RESOURCES NL                               ,ORDINARY            ,0.044,20170630,2017,Astral Resources NL Ordinary,Gold,1.0,0.0
AAU,EQY,ADCORP AUSTRALIA LIMITED                                    ,ORDINARY            ,0.009,20170629,2017,Antilles Gold Limited Ordinary,Gold,1.0,0.0
AB1,EQY,ANIMOCA BRANDS CORPORATION LIMITED                          ,ORDINARY            ,0.025,20170630,2017,,,1.0,0.0
ABA,EQY,AUSWIDE BANK LTD                                            ,ORDINARY            ,5.14,20170630,2017,Auswide Bank Ltd Ordinary,Banks,1.0,0.0
ABC,EQY,ADELAIDE BRIGHTON LIMITED                                   ,ORDINARY            ,5.63,20170630,2017,Adbri Limited Ordinary,Construction Materials,1.0,1.49
ABL,EQY,ABILENE OIL AND GAS LIMITED                                 ,ORDINARY            ,0.007,20170630,2017,,,1.0,0.0
ABP,EQY,ABACUS PROPERTY GROUP                                       ,UNITS/ORD STAPLED   ,3.24,20170630,2017,,,1.0,0.0
